jeu_id;jeu_nom;jeu_genre;jeu_annee;jeu_plateforme;jeu_editeur;jeu_notejvc;jeu_commentaire;jeu_image;_dev_id
18;Wildermyth;RPG;2021;PC;Worldwalker Worldwalker Games;17;Un mélange habile entre le tactical, le rogue-lite, et le jeu narratif. Dans Wildermyth, vous écrivez votre propre légende sous une mise en scène modeste mais intelligente, incarnée dans une esthétique soignée et originale.;images/wilder.jpg;14
19;Darkest Dungeon;Rogue-like;2016;PC;Red Hook Studios;18;Incroyablement exigeant, ce classique du genre vous fascinera autant qu'il vous frustrera. L'esthétique sombre et glauque est particulièrement réussie et donne à ce jeu tout son côté unique.;images/dd.jpg;15
20;Portal 2;Réflexion;2011;PC;Valve;19;La référence du jeu de réflexion, avec un mode co-op culte et incontournable. Portal 2 est une de ces pépites qui ne vieillit pas.;images/portal2.jpg;16
21;Monster Train;Deck-building;2020;PC;Good Shepherd Entertainment;16;Un deck-building inventif et addictif, pensé autour d'une stratégie qui renouvelle le genre.;images/monster.jpg;17
22;The Witcher 3 : Wild Hunt;RPG;2015;Multi-plateformes;CD Projekt;19;Le classique du RPG en monde ouvert, à faire et à refaire, tant pour son gameplay irréprochable que pour sa narration aux petits oignons.;images/wicther.jpg;18
23;Risk of Rain 2;Rogue-like;2020;Multi-plateformes;Gearbox Publishing;17;Addictif, exigeant, explosif, Risk of Rain 2 offre tout ce qu'on peut attendre d'un rogue-like en 3D, en plus d'une identité visuelle tout à fait plaisante.;images/risk.jpg;19
24;Ori and the Blind Forest;Metroidvania;2015;Multi-plateformes;Microsoft Studios;19;Un véritable voyage visuel, proposé dans une aventure en plateforme qui élève le metroidvania au niveau du poème.;images/ori.jpg;20
25;Ori and the Will of Wisps;Metroidvania;2020;Multi-plateformes;Xbox Game Studios;18;Tout comme le premier, Ori and the Will of Wisps vous emmène au gré de ses plateformes et de ses niveaux exigeants dans un voyage poétique vibrant et plein d'émotions.;images/ori2.jpg;20
26;Dicey Dungeons;Rogue-like;2019;Multi-plateformes;Terry Cavanagh;17;Autour d'un principe original, Dicey Dungeons donne un vent de fraîcheur au genre du rogue-like, enrobée d'une ambiance pleine de fantaisie et de couleurs.;images/dicey.jpg;21
27;Life is Strange;Narration interactive;2015;Multi-plateformes;Square Enix;18;Un des jeux qui m'aura le plus marqué. Life is Strange propose une aventure très humaine autour des thèmes de l'amitié, du deuil, et du temps. L'esthétique, la bande sonore, le jeu d'acteur… Absolument rien n'est à jeter.;images/lis.jpg;22
28;Megaman : ZX Advent;Plateforme;2007;Nintendo DS;Capcom;16;Une pépite peu connue de la DS, et mon premier jeu de plateforme, qui m'aura introduit à la licence Megaman. La narration et les personnages, très développés, font de ce jeu un must-have de la DS à mon sens.;images/zx.jpg;23
29;The Last of Us;Aventure;2013;PlayStation 3;Sony Computer Entertainment;19;Sans aucune hésitation le meilleur des jeux narratifs, The Last of Us vous porte le long d'une aventure déchirante sur les routes délabrées d'une Amérique à l'abandon. Si vous ne l'avez pas déjà fait, quittez immédiatement ce site et foncez.;images/tlou.jpg;24
30;The Last of Us 2;Aventure;2020;PlayStation 4;Sony Interactive Entertainment;19;Tout aussi déchirant, tout aussi saisissant que le premier, The Last of Us 2 est une pure réussite, qui emmène le développement des personnages à un tout autre niveau.;images/tlou2.png;24
31;God of War;Action;2018;PlayStation 4;Sony Interactive Entertainment;20;Un opus suprenant, qui tout en restant aussi sanglant et violent que les précédents, propose une expérience narrative et visuelle saisissante, apportant de la profondeur aux explorations mythologiques si caractéristiques de la saga. Kratos quitte son costume de brute vengeresse pour celui de la figure paternelle accompagant son fils le long d'une quête initiatique légendaire.;images/godofwar.jpg;25
32;The Legend of Zelda : Breath of the Wild;Aventure;2017;Nintendo Switch;Nintendo;20;On ne présente ce classique qui a lancé la Switch et emmené la célèbre saga à un tout autre niveau.;images/botw.jpg;26
33;Beyond Two Souls;Narration interactive;2013;PlayStation 3;Sony Computer Entertainment;16;A mi-chemin entre le jeu vidéo et le film interactif, Beyond Two Souls est un thriller porté par des acteurs brillants et une mise en scène irréprochable.;images/beyond.jpg;27
34;Heavy Rain;Narration interactive;2010;PlayStation 3;Sony Computer Entertainment;15;Un thriller aux fortes inspirations cinématographiques, à travers trois histoires connectées et une enquête passionnante aux choix multiples.;images/heavy.jpg;27
35;Detroit : Become Human;Narration interactive;2018;PlayStation 4;Sony Interactive Entertainment;17;Des mêmes studios qu'Heavy Rain et Beyond Two Souls, Detroit prend ce qu'il y'a de meilleurs dans les deux jeux pour offrir une expérience narrative très riche, construite autour d'un arbre de possibilités massif. ;images/detroit.jpg;27
36;Final Fantasy III (DS);RPG;2007;Nintendo DS;Square Enix;16;Mon tout premier RPG.  FF3 est un classique des jeu de rôles japonais à l'ancienne, avec le tour par tour, les combats aléatoires, et l'éternel combat de la lumière et des ténèbres.;images/ff3.jpg;28
37;Magical Starsign;RPG;2006;Nintendo DS;Nintendo;17;Peu connu en Europe, Magical Starsign est un RPG japonais empreint de magie et de féérie. ;images/magical.jpg;29
38;Hades;Rogue-like;2020;PC;Supergiant Games;18;Un beat'em all nerveux autour de la mythologie. Le doublage, l'esthétique, le gameplay, tout est très travaillé dans Hadès, au point que le jeu est entré dès sa sortie dans le panthéon des rogue-likes et dans le cœur des fans du genre.;images/hades.jpg;30
39;The Life and Suffering of Sir Brante;Narration textuelle;2021;PC;101XP;16;Sorti tout récemment, The Life and Suffering of Sir Brante propose une aventure textuelle aux choix multiples dans un univers intriguant, dans lequel vous écrivez votre histoire contre une société qui cherche à l'écrire pour vous.;images/brante.jpg;31
40;Kid Icarus : Uprising;Shooter;2012;3DS;Nintendo;17;Nerveux, coloré, drôle et addictif, Kid Icarus Uprising est un renouveau complètement surprenant d'une saga quelque peu oubliée. Un must-have de la 3DS, aux niveaux qui m'ont occupés de très longues heures. Il s'agit de ce genre de jeu qu'on refait plusieurs fois, juste pour le plaisir.;images/icarus.jpg;32
41;The Legend of Zelda : Ocarina of Time 3D;Aventure;2011;3DS;Nintendo;19;C'est avec ce remake que j'ai découvert ce monument du jeu vidéo, fondateur de l'aventure en 3D tel qu'on l'a connu pendant près de deux décennies. ;images/ocarina.jpg;6
42;Mario Kart 7;Course;2011;3DS;Nintendo;17;On ne présente plus le classique du jeu de course familial, qui aura autant brisé que consolidé les amitiés. ;images/mk7.jpg;6
43;Super Smash Bros Ultimate;Combat;2018;Nintendo Switch;Nintendo;18;Le plus abouti des épisodes de cette licence phare des jeux de combat. ;images/ssb.jpg;33
44;The Legend of Bum-Bo;Statégie;2019;PC;Edmund McMillen;14;Un petit jeu de stratégie sympathique, modeste mais appréciable quand on connaît l'univers unique et glauque du créateur Edmund McMillen.;images/bum.png;8
45;Assassins Creed : Origins;Aventure;2017;Multi-plateformes;Ubisoft;18;Un opus qui marque un tournant dans la licence phare d'Ubisoft, en proposant un monde ouvert très riche au travers d'une aventure historique et passionnante. ;images/ac.jpg;1
46;Game Dev Tycoon;Gestion;2013;PC;Greenheart Games;16;Mon jeu de gestion préféré. Un jeu dans lequel on produit des jeux, de son garage jusqu'à la multinationale.;images/tycoon.jpg;34
47;FTL : Faster Than Light;Statégie;2012;PC;Subset Games;17;Un rogue-like statégique dans l'espace, à l'ambiance unique. Très bien pensé, le jeu est addictif, parfois stressant, et très exigeant.;images/ftl.png;35
48;Suikoden Tierkreis;RPG;2008;Nintendo DS;Konami;17;Mon RPG préféré. Il s'agit d'un épisode à part de la saga Suikoden, d'une richesse narrative inouïe, avec une bonne centaine de personnages jouables. En plus, l'un d'entre eux porte le même prénom que moi !;images/suikoden.jpg;36
49;The Wolf Among Us;Narration interactive;2013;Multi-plateformes;Telltale Games;18;Tiré d'une bande dessinée, ce jeu mettant en scène des personnages de contes de fées dans une New-York désabusée et cynique nous emmène dans une enquête noire aux côtés du grand méchant loup, flic repenti, ici héros de l'histoire.;images/wolf.jpg;37
50;Rayman Legends;Plateforme;2013;Multi-plateformes;Ubisoft;18;Le dernier opus de ma licence préféré nous propose une expérience de plateforme très agréable, à l'univers coloré et loufoque, plein d'humour et de références bien senties. Michel Ancel fait ici aussi honneur à Rayman, qu'il aura accompagné et fait grandir pendant près de 15 ans.;images/legends.jpg;1
